name	biotype_group
IG_C_gene	coding
IG_D_gene	coding
IG_J_gene	coding
IG_LV_gene	coding
IG_M_gene	coding
IG_V_gene	coding
IG_Z_gene	coding
nonsense_mediated_decay	coding
non_stop_decay	coding
nontranslating_CDS	coding
polymorphic_pseudogene	coding
protein_coding	coding
TR_C_gene	coding
TR_D_gene	coding
TR_gene	coding
TR_J_gene	coding
TR_V_gene	coding
unknown_likely_coding	coding
3prime_overlapping_ncRNA	lnoncoding
ambiguous_orf	lnoncoding
antisense	lnoncoding
antisense_RNA	lnoncoding
antitoxin	lnoncoding
atlncRNA	lnoncoding
bidirectional_promoter_lncRNA	lnoncoding
lincRNA	lnoncoding
lncRNA	lnoncoding
macro_lncRNA	lnoncoding
ncRNA_host	lnoncoding
non_coding	lnoncoding
processed_transcript	lnoncoding
retained_intron	lnoncoding
ribozyme	lnoncoding
sense_intronic	lnoncoding
sense_overlapping	lnoncoding
LRG_gene	LRG
misc_RNA	mnoncoding
transposable_element	no_group
otherRNA	other
disrupted_domain	pseudogene
IG_C_pseudogene	pseudogene
IG_D_pseudogene	pseudogene
IG_J_pseudogene	pseudogene
IG_pseudogene	pseudogene
IG_V_pseudogene	pseudogene
miRNA_pseudogene	pseudogene
misc_RNA_pseudogene	pseudogene
Mt_tRNA_pseudogene	pseudogene
processed_pseudogene	pseudogene
pseudogene	pseudogene
rRNA_pseudogene	pseudogene
scRNA_pseudogene	pseudogene
snoRNA_pseudogene	pseudogene
snRNA_pseudogene	pseudogene
transcribed_processed_pseudogene	pseudogene
transcribed_unitary_pseudogene	pseudogene
transcribed_unprocessed_pseudogene	pseudogene
translated_processed_pseudogene	pseudogene
translated_unprocessed_pseudogene	pseudogene
TR_J_pseudogene	pseudogene
tRNA_pseudogene	pseudogene
TR_V_pseudogene	pseudogene
unitary_pseudogene	pseudogene
unprocessed_pseudogene	pseudogene
atRNA	snoncoding
class_II_RNA	snoncoding
class_I_RNA	snoncoding
CRISPR	snoncoding
known_ncRNA	snoncoding
miRNA	snoncoding
Mt_rRNA	snoncoding
Mt_tRNA	snoncoding
ncRNA	snoncoding
piRNA	snoncoding
pre_miRNA	snoncoding
RNase_MRP_RNA	snoncoding
RNase_P_RNA	snoncoding
rRNA	snoncoding
scaRNA	snoncoding
scRNA	snoncoding
snlRNA	snoncoding
snoRNA	snoncoding
snRNA	snoncoding
sRNA	snoncoding
SRP_RNA	snoncoding
tmRNA	snoncoding
tRNA	snoncoding
vaultRNA	snoncoding
vault_RNA	snoncoding
TEC	undefined
