# Histogram of U-tail length (percentage)	
U tail length	lincRNA	5S rRNA	mRNA	miRNA	tRNA	miscRNA	snRNA	rRNA
0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0
4	1.46	0.10	4.68	0.20	0.13	0.07	1.05	1.64
5	9.04	0.32	15.48	2.15	2.31	0.36	4.58	4.93
6	10.78	1.17	17.41	6.19	10.42	2.11	7.66	9.66
7	16.18	2.08	13.45	9.97	16.05	2.86	8.47	10.73
8	15.15	3.29	13.45	21.11	19.14	4.05	21.47	12.26
9	13.00	4.73	11.81	24.73	15.12	9.77	20.78	13.15
10	13.41	10.07	9.82	17.25	12.82	16.79	19.12	11.91
11	8.91	12.29	6.10	7.52	10.33	19.11	8.81	10.10
12	4.67	15.00	3.26	4.59	6.06	19.96	4.72	6.85
13	3.56	19.82	1.89	3.12	3.35	10.81	1.78	4.91
14	1.64	10.96	1.01	1.73	1.99	6.50	0.74	3.78
15	0.83	7.94	0.54	0.77	1.06	2.71	0.37	2.97
16	0.63	3.10	0.35	0.34	0.64	1.50	0.25	2.43
17	0.30	2.23	0.21	0.17	0.28	0.82	0.12	1.75
18	0.18	1.47	0.26	0.08	0.12	0.63	0.03	1.09
19	0.05	2.02	0.18	0.05	0.06	0.75	0.03	0.71
20	0.03	1.34	0.06	0.02	0.04	0.99	0.01	0.53
21	0.18	0.92	0.01	0.01	0.01	0.05	0.00	0.21
22	0	0.58	0.02	0.01	0.02	0.05	0.00	0.15
23	0	0.11	0.01	0	0.03	0.07	0	0.09
24	0	0.08	0.00	0.00	0.00	0.01	0.00	0.05
25	0	0.12	0.00	0	0.00	0.02	0.00	0.03
