#http://www.ensembl.org/Help/Glossary
#mysql -uanonymous -P3306 -hensembldb.ensembl.org -Densembl_production_87 -e "select distinct(name),biotype_group from biotype where db_type like '%core%' and is_current=1 order by biotype_group,name;"
name	biotype_group
IG_C_gene	coding
IG_D_gene	coding
IG_J_gene	coding
IG_LV_gene	coding
IG_M_gene	coding
IG_V_gene	coding
IG_Z_gene	coding
nonsense_mediated_decay	coding
nontranslating_CDS	coding
non_stop_decay	coding
polymorphic_pseudogene	coding
protein_coding	coding
TR_C_gene	coding
TR_D_gene	coding
TR_gene	coding
TR_J_gene	coding
TR_V_gene	coding
unknown_likely_coding	coding
disrupted_domain	pseudogene
IG_C_pseudogene	pseudogene
IG_D_pseudogene	pseudogene
IG_J_pseudogene	pseudogene
IG_pseudogene	pseudogene
IG_V_pseudogene	pseudogene
miRNA_pseudogene	pseudogene
misc_RNA_pseudogene	pseudogene
Mt_tRNA_pseudogene	pseudogene
processed_pseudogene	pseudogene
pseudogene	pseudogene
rRNA_pseudogene	pseudogene
scRNA_pseudogene	pseudogene
snoRNA_pseudogene	pseudogene
snRNA_pseudogene	pseudogene
transcribed_processed_pseudogene	pseudogene
transcribed_unitary_pseudogene	pseudogene
transcribed_unprocessed_pseudogene	pseudogene
translated_processed_pseudogene	pseudogene
translated_unprocessed_pseudogene	pseudogene
tRNA_pseudogene	pseudogene
TR_J_pseudogene	pseudogene
TR_V_pseudogene	pseudogene
unitary_pseudogene	pseudogene
unprocessed_pseudogene	pseudogene
class_II_RNA	snoncoding
class_I_RNA	snoncoding
CRISPR	snoncoding
known_ncRNA	snoncoding
miRNA	snoncoding
Mt_rRNA	snoncoding
Mt_tRNA	snoncoding
ncRNA	snoncoding
piRNA	snoncoding
pre_miRNA	snoncoding
RNase_MRP_RNA	snoncoding
RNase_P_RNA	snoncoding
rRNA	snoncoding
scaRNA	snoncoding
scRNA	snoncoding
snlRNA	snoncoding
snoRNA	snoncoding
snRNA	snoncoding
sRNA	snoncoding
SRP_RNA	snoncoding
tmRNA	snoncoding
tRNA	snoncoding
vaultRNA	snoncoding
3prime_overlapping_ncRNA	lnoncoding
ambiguous_orf	lnoncoding
antisense	lnoncoding
antitoxin	lnoncoding
bidirectional_promoter_lncRNA	lnoncoding
lincRNA	lnoncoding
lncRNA	lnoncoding
macro_lncRNA	lnoncoding
ncRNA_host	lnoncoding
non_coding	lnoncoding
processed_transcript	lnoncoding
retained_intron	lnoncoding
ribozyme	lnoncoding
sense_intronic	lnoncoding
sense_overlapping	lnoncoding
misc_RNA	mnoncoding
LRG_gene	LRG
TEC	undefined
transposable_element	no_group
